Archer,Round,Experience,Bowstyle,EventName,EventType,Date,Score,Hits,Golds,Xs,Handicap,Classification,HandicapAtScore,HandicapAllowance,HandicapAdjustedScore
Patrick Huston,WA 18m,Experienced,Recurve,British Senior Indoors,Record Status Competition,2013-12-07,587,,,,8,A,8,853,1440
Patrick Huston,Portsmouth,Experienced,Recurve,Muckamore,Competition (Non Record Status),2013-11-22,598,60,,,7,A,8,843,1441
Patrick Huston,WA 25m,Experienced,Recurve,Muckamore,Record Status Competition,2013-11-16,558,,,,23,C,9,853,1411
Patrick Huston,WA 25m,Experienced,Recurve,Muckamore,Record Status Competition,2013-11-16,580,,,,13,A,9,853,1433
Patrick Huston,Double Portsmouth,Experienced,Recurve,Muckamore,Record Status Competition,2013-11-02,1190,,,,11,A,,,
Patrick Huston,Portsmouth,Experienced,Recurve,Muckamore,Record Status Competition,2013-11-02,598,,,,7,A,9,843,1441
Patrick Huston,Portsmouth,Experienced,Recurve,Muckamore,Record Status Competition,2013-11-02,592,,,,14,A,10,844,1436
Patrick Huston,Metric I,Experienced,Recurve,WAYC (Wuxi),Record Status Competition,2013-10-15,1296,,,,22,1st,,119,1415
Patrick Huston,Portsmouth,Experienced,Recurve,Muckamore Portsmouth,Practice Session,2013-09-28,598,,,,7,A,10,844,1442
Patrick Huston,Portsmouth,Experienced,Recurve,Muckamore Portsmouth,Practice Session,2013-09-28,592,,,,14,A,12,846,1438
Patrick Huston,Portsmouth,Experienced,Recurve,Muckamore,Record Status Competition,2013-09-28,593,,,,13,A,12,846,1439
Patrick Huston,WA 25m,Experienced,Recurve,Muckamore Fita 25,Record Status Competition,2013-09-28,580,,,,13,A,10,855,1435
Patrick Huston,WA 1440 Gents,Experienced,Recurve,Bowmen of Glenn,Record Status Competition,2013-09-22,1284,144,,,20,GMB*,,145,1429
Patrick Huston,WA 720 70m,Experienced,Recurve,Bowmen of Glen,Record Status Competition,2013-09-21,631,,,,22,1st,,793,1424
Patrick Huston,WA 720 70m,Experienced,Recurve,Bowmen of Glenn,Record Status Competition,2013-09-21,654,72,,,17,1st,,793,1447
Patrick Huston,Portsmouth,Experienced,Recurve,Bangor,Competition (Non Record Status),2013-09-14,594,60,,,12,A,12,846,1440
Patrick Huston,60m 122cm 10 Zone,Experienced,Recurve,GB,Record Status Competition,2013-08-04,328,,,,20,2nd,,,
Patrick Huston,Metric I,Experienced,Recurve,GB,Record Status Competition,2013-08-03,1329,,,,17,1st,19,126,1455
Patrick Huston,WA 720 60m,Experienced,Recurve,Korea,Record Status Competition,2013-07-09,654,,,,21,2nd,20,783,1437
Patrick Huston,WA 720 60m,Experienced,Recurve,Seoul Youth Festival,Record Status Competition,2013-07-09,654,72,,,21,2nd,20,783,1437
Patrick Huston,WA 720 60m,Experienced,Recurve,GB,Practice Session,2013-07-04,658,,,,20,2nd,20,783,1441
Patrick Huston,WA 720 60m,Experienced,Recurve,GB,Practice Session,2013-07-04,641,,,,24,2nd,20,783,1424
Patrick Huston,WA 720 70m,Experienced,Recurve,GB,Record Status Competition,2013-06-09,628,,,,23,1st,20,801,1429
Patrick Huston,Metric I,Experienced,Recurve,1322,Record Status Competition,2013-06-08,1322,144,,,18,1st,20,134,1456
Patrick Huston,WA 720 70m,Experienced,Recurve,GB,Practice Session,2013-06-06,643,,,,19,1st,21,806,1449
Patrick Huston,60m 122cm 10 Zone,Experienced,Recurve,Gnas,Record Status Competition,2013-05-26,331,,,,19,2nd,,,
Patrick Huston,Metric I,Experienced,Recurve,Gnas,Record Status Competition,2013-05-25,1266,,,,25,1st,23,159,1425
Patrick Huston,WA 1440 Gents,Experienced,Recurve,Muckamore,Record Status Competition,2013-05-18,1142,,,,32,BM,23,192,1334
Patrick Huston,WA 1440 Gents,Experienced,Recurve,NICS,Record Status Competition,2013-04-27,1225,,,,26,MB*,,145,1370
Patrick Huston,Portsmouth,Experienced,Recurve,NIAS,Record Status Competition,2013-03-24,596,,,,10,A,12,846,1442
Patrick Huston,WA 18m,Experienced,Recurve,NIAS,Record Status Competition,2013-03-23,579,,,,13,A,13,862,1441
Patrick Huston,Stafford,Experienced,Recurve,NICS,Record Status Competition,2013-02-03,687,72,,,19,B,13,739,1426
Patrick Huston,WA 720 70m,Experienced,Recurve,NICS,Competition (Non Record Status),2012-12-29,613,72,,,25,1st,23,816,1429
Patrick Huston,Double Portsmouth,Experienced,Recurve,NICS,Record Status Competition,2012-12-22,1180,,,,16,B,,,
Patrick Huston,Portsmouth,Experienced,Recurve,NICS,Competition (Non Record Status),2012-12-22,590,60,,,16,B,13,847,1437
Patrick Huston,WA 18m,Experienced,Recurve,GNAS (Telford),Record Status Competition,2012-12-03,550,,,,25,C,13,862,1412
Patrick Huston,Portsmouth,Experienced,Recurve,GNAS (Telford),Record Status Competition,2012-12-02,594,,,,12,A,13,847,1441
Patrick Huston,WA 18m,Experienced,Recurve,GNAS (Coventry),Record Status Competition,2012-12-02,563,,,,20,B,13,862,1425
Patrick Huston,Portsmouth,Experienced,Recurve,GNAS (Coventry),Record Status Competition,2012-12-01,582,,,,21,B,13,847,1429
Patrick Huston,WA 18m,Experienced,Recurve,IAAA,Record Status Competition,2012-11-24,565,,,,19,B,13,862,1427
Patrick Huston,Portsmouth,Experienced,Recurve,Bangor,Record Status Competition,2012-11-10,583,,,,20,B,13,847,1430
Patrick Huston,WA 18m,Experienced,Recurve,KAC ,Record Status Competition,2012-10-27,564,,,,20,B,13,862,1426
Patrick Huston,WA 18m,Experienced,Recurve,KAC ,Record Status Competition,2012-10-27,570,,,,17,B,13,862,1432
Patrick Huston,WA 18m,Experienced,Recurve,KAC,Competition (Non Record Status),2012-10-27,577,60,,,14,A,13,862,1439
Patrick Huston,WA 18m,Experienced,Recurve,CoB,Practice Session,2012-10-25,579,,,,13,A,13,862,1441
Patrick Huston,WA 18m,Experienced,Recurve,CoB,Practice Session,2012-10-18,573,,,,16,B,13,862,1435
Patrick Huston,WA 25m,Experienced,Recurve,MCA,Record Status Competition,2012-10-17,576,,,,15,B,13,860,1436
Patrick Huston,WA 25m,Experienced,Recurve,Muckamore,Record Status Competition,2012-10-17,583,60,,,12,A,13,860,1443
Patrick Huston,WA 18m,Experienced,Recurve,LCAC,Record Status Competition,2012-09-22,567,,,,19,B,13,862,1429
Patrick Huston,WA 18m,Experienced,Recurve,LCAC,Record Status Competition,2012-09-22,556,,,,23,C,13,862,1418
Patrick Huston,WA 18m,Experienced,Recurve,CoB,Practice Session,2012-09-20,577,,,,14,A,13,862,1439
